project_id	submitter_id	sample_name_list	sample_type_list	preservation_method_list	data_category	data_type	caller	call_format	experimental_strategy	md5	size	path
CTSP-DLBCL1	CTSP-ACY5	DLBCL11282-sample	Tumor	'--	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	63810ee516900dc1a3bb629f543b2c4c	13433964807	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY5/DLBCL11282-sample.wxs.bam
CTSP-DLBCL1	CTSP-ACY5	CTSP-ACY5-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	3f1176ae26a8408f5f2c15b2e0207acf	27609404547	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY5/CTSP-ACY5-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY5	CTSP-ACY5-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	4dc515c8d5d1a73181b397693d21e701	38700287461	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY5/CTSP-ACY5-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY6	DLBCL11285-sample	Tumor	'--	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	c56bb8ccb124a581103f8cd5e7fe6d17	13692408651	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY6/DLBCL11285-sample.wxs.bam
CTSP-DLBCL1	CTSP-ACY6	CTSP-ACY6-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	24eccd152c4920f40aaa2c0ffcafda92	25215646224	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY6/CTSP-ACY6-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY6	CTSP-ACY6-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	4329ec6e8f830338dd25bba16cfdeffe	28330741816	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY6/CTSP-ACY6-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY7	CTSP-ACY7-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	6724911826ca03f34558a1c1249ce9e2	29572492412	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY7/CTSP-ACY7-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY7	CTSP-ACY7-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	06b02d43a02917270a49a82832e488d3	30148924408	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY7/CTSP-ACY7-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY8	DLBCL11286-sample	Tumor	'--	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	830c6248183416c28658694a9aa9430b	15111306652	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY8/DLBCL11286-sample.wxs.bam
CTSP-DLBCL1	CTSP-ACY8	CTSP-ACY8-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	da07c0addb96937670f85e8dbe3d0bd0	27251600198	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY8/CTSP-ACY8-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY8	CTSP-ACY8-NB1-B	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	e7ae771f3ecd8d6729f1a59bab26775a	33468367742	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY8/CTSP-ACY8-NB1-B.wxs.bam
CTSP-DLBCL1	CTSP-ACY9	CTSP-ACY9-TTP1-J	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	4abadde84ee9aa295f4f287fa459397f	25292817489	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY9/CTSP-ACY9-TTP1-J.wxs.bam
CTSP-DLBCL1	CTSP-ACY9	CTSP-ACY9-TTP1-A	Slides	FFPE	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	e90be0ed1f911144809df564474b1caa	36467303465	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY9/CTSP-ACY9-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACY9	CTSP-ACY9-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	95f49f4ec794983063cfa6fc755cb3f8	38735274921	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACY9/CTSP-ACY9-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYC	CTSP-ACYC-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	ae6d2fa0454bbb1121e4845abf31480f	29965320460	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYC/CTSP-ACYC-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYC	CTSP-ACYC-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	34af58cbacf198e43130f999011aa342	31034064929	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYC/CTSP-ACYC-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYE	CTSP-ACYE-TTP1-E	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	43f97f2017022e124cec6f09eb2affa2	34408349214	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYE/CTSP-ACYE-TTP1-E.wxs.bam
CTSP-DLBCL1	CTSP-ACYE	CTSP-ACYE-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	23839ae81d99944e05837d0470eb3113	35467979655	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYE/CTSP-ACYE-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYG	CTSP-ACYG-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	73f19d796bc8690ab612ef880e82554c	34793530501	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYG/CTSP-ACYG-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYG	CTSP-ACYG-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	a099dfe4fbdb22a15d36e9fba5564628	39096551275	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYG/CTSP-ACYG-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYH	DLBCL11288-sample	Tumor	'--	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	e7c32d326c5e50a80d4b9993d6b11060	19981329439	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYH/DLBCL11288-sample.wxs.bam
CTSP-DLBCL1	CTSP-ACYH	CTSP-ACYH-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	1b5fa6d605bb12c7e3a5d484c027393d	30595787100	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYH/CTSP-ACYH-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYH	CTSP-ACYH-TTP1-C	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	e05e8f2319f8b01b07005fda926ab0c6	39884733501	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYH/CTSP-ACYH-TTP1-C.wxs.bam
CTSP-DLBCL1	CTSP-ACYI	CTSP-ACYI-TTP1-B	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	39b29010b94d67cfa74120d6f091b9d9	31049016765	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYI/CTSP-ACYI-TTP1-B.wxs.bam
CTSP-DLBCL1	CTSP-ACYI	CTSP-ACYI-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	4c3b2d32562471c75814a745c06b8283	34614064247	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYI/CTSP-ACYI-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYJ	DLBCL11289-sample	Tumor	'--	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	a0925ff3ac0da163c7d1501350e51f09	17980407804	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYJ/DLBCL11289-sample.wxs.bam
CTSP-DLBCL1	CTSP-ACYK	CTSP-ACYK-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	9c2b563771ee44915017ea50da4826ef	25941826656	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYK/CTSP-ACYK-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYK	CTSP-ACYK-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	badc91244be5887bcc3648bd2315c1ad	27110568748	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYK/CTSP-ACYK-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYM	DLBCL11290-sample	Tumor	'--	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	ee37859623a531ddf01f28776638740d	22342434563	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYM/DLBCL11290-sample.wxs.bam
CTSP-DLBCL1	CTSP-ACYM	CTSP-ACYM-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	ef538635535d2d8ca2f418164748dfea	29153254863	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYM/CTSP-ACYM-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYM	CTSP-ACYM-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	e17bb22ded2acbe49373e2ebcddf8a47	35041942945	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYM/CTSP-ACYM-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYP	DLBCL11291-sample	Tumor	'--	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	2aece3d46e6735bf76fe38e74365de45	16552210110	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYP/DLBCL11291-sample.wxs.bam
CTSP-DLBCL1	CTSP-ACYP	CTSP-ACYP-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	5ecf32fd03abc46aef57b5abf8e85c0c	29730556233	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYP/CTSP-ACYP-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYP	CTSP-ACYP-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	b41cebac4804e47ef976b61b4c5dca7f	35845732230	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYP/CTSP-ACYP-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYS	DLBCL11292-sample	Tumor	'--	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	4ceb4823fcc5f522065d3a8e73dbc33c	19715441991	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYS/DLBCL11292-sample.wxs.bam
CTSP-DLBCL1	CTSP-ACYS	CTSP-ACYS-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	ed3caf920bbc66b052c88f62f874d646	24881016322	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYS/CTSP-ACYS-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYS	CTSP-ACYS-TTP1-E	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	032725f0187d12a088f47703ab507779	32966719205	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYS/CTSP-ACYS-TTP1-E.wxs.bam
CTSP-DLBCL1	CTSP-ACYT	CTSP-ACYT-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	4d586c96246e490a707d710497b06a7f	28578153222	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYT/CTSP-ACYT-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYT	CTSP-ACYT-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	62509608bb35502632d720d7af163d3c	30507480802	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYT/CTSP-ACYT-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYV	DLBCL11293-sample	Tumor	'--	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	062076efb5f241c8d3844fd2102685b5	16816676521	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYV/DLBCL11293-sample.wxs.bam
CTSP-DLBCL1	CTSP-ACYV	CTSP-ACYV-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	b9c51d57f99beb4714d96ac0177272a8	31574280790	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYV/CTSP-ACYV-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYV	CTSP-ACYV-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	c7f452409cee20da31a5123def7534ad	38327962760	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYV/CTSP-ACYV-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYW	CTSP-ACYW-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	e9226179e23f847d23ceb2d95c7bc6f0	31789156997	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYW/CTSP-ACYW-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYW	CTSP-ACYW-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	cba31d197cde367335f4be642ef92b64	34947072081	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYW/CTSP-ACYW-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYX	DLBCL11294-sample	Tumor	'--	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	1a6f1e0aa9c6b6a3e938cfc495e97c0f	20668330209	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYX/DLBCL11294-sample.wxs.bam
CTSP-DLBCL1	CTSP-ACYX	CTSP-ACYX-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	7e89e50de9020100746d4e59716a5f73	39685034361	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYX/CTSP-ACYX-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYX	CTSP-ACYX-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	ced109dffd4ec3bac64f0f74a721d3db	41893505979	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYX/CTSP-ACYX-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYY	CTSP-ACYY-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	affb81dd88d6cd7e194d985fcab44353	31223231534	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYY/CTSP-ACYY-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYY	CTSP-ACYY-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	40623f7955d6e9f7f62529fa1c5d3077	36994727886	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYY/CTSP-ACYY-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYZ	CTSP-ACYZ-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	a8b58ee1fd17eded772fb72ee4598b6c	31094393527	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYZ/CTSP-ACYZ-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACYZ	CTSP-ACYZ-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	0ae437a6335ebed0adc115654adb1496	36589364687	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACYZ/CTSP-ACYZ-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACZ1	CTSP-ACZ1-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	f2b4902c80d64dbf6051dbf72efb6648	25053319206	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACZ1/CTSP-ACZ1-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACZ1	CTSP-ACZ1-TTP1-C	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	b8205bf3d3fe24c8eddf331dafc53293	42164301969	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACZ1/CTSP-ACZ1-TTP1-C.wxs.bam
CTSP-DLBCL1	CTSP-ACZ2	CTSP-ACZ2-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	3b094149654470cd7afdbc7e2d88dd4d	31203365636	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACZ2/CTSP-ACZ2-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACZ2	CTSP-ACZ2-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	87e4cd97346a7972f0f0b846480614de	41008390927	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACZ2/CTSP-ACZ2-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACZ3	CTSP-ACZ3-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	e28992fc2b3c7cf24bda0ad7479e8443	38751636391	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACZ3/CTSP-ACZ3-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACZ3	CTSP-ACZ3-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	7d086a403b6717443605014c62e3b494	38790823526	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACZ3/CTSP-ACZ3-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACZ4	CTSP-ACZ4-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	a0898a42657192a7091d8c406af2cf88	30656946656	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACZ4/CTSP-ACZ4-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACZ4	CTSP-ACZ4-TTP1-C	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	9abc58cce9a6740e7de48605d9b22aa1	31397836678	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACZ4/CTSP-ACZ4-TTP1-C.wxs.bam
CTSP-DLBCL1	CTSP-ACZ5	CTSP-ACZ5-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	94962d0d987c2964904be04a22d0e5a5	32820362094	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACZ5/CTSP-ACZ5-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACZ5	CTSP-ACZ5-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	0aee3454e79febd55afbbd36bb9e3b3e	36307763747	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACZ5/CTSP-ACZ5-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACZ8	CTSP-ACZ8-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	d8bb12b96a37a20e12cd5ca0d2e888a3	35076922438	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACZ8/CTSP-ACZ8-NB1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACZ8	CTSP-ACZ8-TTP1-A	Primary Tumor	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	82140854a1d2707e5d68e5a11f82aaa7	38934870478	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACZ8/CTSP-ACZ8-TTP1-A.wxs.bam
CTSP-DLBCL1	CTSP-ACZ9	CTSP-ACZ9-NB1-A	Blood Derived Normal	Frozen	Sequencing Reads	Aligned Reads	undefined	BAM	WXS	f97fac61fa3791686e8fbb980d3cefde	31054183265	/storage1/fs1/dinglab/Active/Primary/CTSP-DLBCL/GDC/aligned_reads_by_case/CTSP-ACZ9/CTSP-ACZ9-NB1-A.wxs.bam
